title,video_url,platform,category,view_count,posted_date
spongebob,https://www.tiktok.com/@mrlivelee/video/7176448907076226350,tiktok,tv,6800,2022-12-12
buffy-the-vampire-slayer,https://www.tiktok.com/@mrlivelee/video/7176822056883932458,tiktok,tv,5300,2022-12-13
kaiju-no-8,https://www.tiktok.com/@mrlivelee/video/7382043789168332075,tiktok,anime,90800,2024-06-18
my-hero-academia,https://www.tiktok.com/@mrlivelee/video/7384517671787728171,tiktok,anime,7000,2024-06-25
greys-anatomy,https://www.tiktok.com/@mrlivelee/video/7146702724871048491,tiktok,tv,10600000,2022-09-23
sazae-san,https://www.youtube.com/shorts/jIZg92Ug0aM,youtube,anime,7271,2022-09-14
one-piece,https://www.youtube.com/shorts/wZpI-rMFXyw,youtube,anime,45449,2022-09-14
death-note,https://www.youtube.com/shorts/CGvvSBa5DeM,youtube,anime,897584,2022-09-22
hunter-x-hunter,https://www.youtube.com/shorts/NgKt8uBQn1U,youtube,anime,3844,2022-09-23
detective-conan,https://www.youtube.com/shorts/0f6twXtc2cs,youtube,anime,205,2022-09-24
dragon-ball-z,https://www.youtube.com/shorts/FFIDicwQl00,youtube,anime,225025,2022-09-25
doraemon,https://www.youtube.com/shorts/mjPAsks7jbo,youtube,anime,906,2022-09-26
fate,https://www.youtube.com/shorts/EtvK40fCXyQ,youtube,anime,23300,2022-09-27
bleach,https://www.youtube.com/shorts/kYbFe7eZK8I,youtube,anime,992923,2022-09-27
gundam,https://www.youtube.com/shorts/H_-OWU5hWsY,youtube,anime,220176,2022-09-28
the-office,https://www.youtube.com/shorts/8AuVxOcnBxc,youtube,tv,9118,2022-09-30
demon-slayer,https://www.youtube.com/shorts/dtBbw6YZQ9U,youtube,anime,14000,2022-09-30
sword-art-online,https://www.youtube.com/shorts/PAdWerMZRQA,youtube,anime,3217,2022-10-01
game-of-thrones,https://www.youtube.com/shorts/WVVzV2T1KIc,youtube,tv,161489,2022-10-02
fullmetal-alchemist,https://www.youtube.com/shorts/EaczE0C994k,youtube,anime,160784,2022-10-02
one-punch-man,https://www.youtube.com/shorts/WKu2lksnX30,youtube,anime,72209,2022-10-03
my-hero-academia,https://www.youtube.com/shorts/TpqiLufK0uM,youtube,anime,101408,2022-10-03
attack-on-titan,https://www.youtube.com/shorts/NcKtvQEla4Q,youtube,anime,131870,2022-10-04
sword-art-online,https://www.youtube.com/shorts/My8PWg5WIuk,youtube,anime,49344,2022-10-15
demon-slayer,https://www.youtube.com/shorts/zdFhDWUQIUU,youtube,anime,31174,2022-10-14
the-office,https://www.youtube.com/shorts/4NKzVNQxwSE,youtube,tv,13303,2022-10-15
the-simpsons,https://www.youtube.com/shorts/srduDpxPF7M,youtube,tv,54310,2022-10-16
greys-anatomy,https://www.youtube.com/shorts/5BBHyFHL4Og,youtube,tv,30254,2022-10-18
breaking-bad,https://www.youtube.com/shorts/4_etB3RVm3M,youtube,tv,58777,2022-10-19
fairy-tail,https://www.youtube.com/shorts/R3TNMTExsK4,youtube,anime,47945,2022-10-19
stranger-things,https://www.youtube.com/shorts/wgKO7U0g7jk,youtube,tv,259389,2022-10-20
blue-bloods,https://www.youtube.com/shorts/UH3Q2Ms4iuM,youtube,tv,11293,2022-10-20
arrow,https://www.youtube.com/shorts/-rrzqJLn0Fg,youtube,tv,14956,2022-10-21
seven-deadly-sins,https://www.youtube.com/shorts/BGqJccQMEXk,youtube,anime,27402,2022-10-22
the-flash,https://www.youtube.com/shorts/2D7vW4z3xCQ,youtube,tv,10475,2022-10-23
code-geass,https://www.youtube.com/shorts/fauvKwM1Jc4,youtube,anime,366541,2022-10-24
tokyo-ghoul,https://www.youtube.com/shorts/bfmFH9FCMwg,youtube,anime,273934,2022-10-25
the-walking-dead,https://www.youtube.com/shorts/9hzw20qvMyI,youtube,tv,25706,2022-10-26
cowboy-bebop,https://www.youtube.com/shorts/gDk22IBVfVQ,youtube,anime,479105,2022-10-27
south-park,https://www.youtube.com/shorts/yLfM_ZaBsAI,youtube,tv,81751,2022-10-28
supernatural,https://www.youtube.com/shorts/33SKGp00q_I,youtube,tv,39379,2022-10-29
kaiju-no-8,https://www.youtube.com/shorts/6l4CuhxZADs,youtube,anime,2068,2024-06-18
my-hero-academia,https://www.youtube.com/shorts/IuJmqHLx0pM,youtube,anime,17948,2024-06-25
one-piece,https://www.youtube.com/shorts/XTyUvb06sz8,youtube,anime,3059299,2022-09-16
